name,team,position,goals,assists,appearances,minutes,pass_accuracy
Liam Harper,Northgate City,Forward,24,9,34,2890,71
Esteban Ruiz,Riverside FC,Midfielder,11,18,36,3180,84
Tomáš Novák,Eastfield United,Defender,3,5,33,2970,88
Jamal Osei,Crestwood Athletic,Forward,19,7,30,2540,68
Diego Ferrara,Portview Rangers,Midfielder,8,14,35,3050,81
Marcus Leigh,Ironbridge Town,Forward,16,4,28,2310,73
Aleksander Wolff,Southshore FC,Defender,2,3,32,2880,91
Kwame Asante,Northgate City,Midfielder,6,11,37,3330,79
Yusuf Al-Rashid,Riverside FC,Forward,21,6,33,2780,70
Nils Bergström,Crestwood Athletic,Defender,1,4,31,2790,90
Patrick Connolly,Ironbridge Town,Midfielder,9,16,36,3200,83
Renato Almeida,Eastfield United,Forward,14,8,29,2460,74
Sébastien Moreau,Portview Rangers,Midfielder,7,12,34,3010,86
Callum Drury,Southshore FC,Defender,4,6,35,3150,89
Hiroshi Tanaka,Northgate City,Forward,18,5,31,2630,72
Andrés Delgado,Riverside FC,Midfielder,10,20,38,3420,85
Victor Ibarra,Eastfield United,Defender,2,2,30,2700,87
Oluwaseun Balogun,Crestwood Athletic,Forward,22,10,35,2960,69
Fionn Gallagher,Ironbridge Town,Midfielder,5,9,33,2950,80
Matteo Conti,Portview Rangers,Defender,3,7,36,3240,92
